job,专业,性格,软件技能,工作内容,品质
跨境电商运营总监,"跨境电商运营总监
无", 有战略眼光、组织能力强, 无, 跨境电商项目战略制定与运营发展、团队管理、业务统筹、全球资源运营与整合、行业动态分析、制定业务发展规划, 全球资源运营与整合能力、团队建设与管理能力
跨境电商亚马逊运营专员,"跨境电商亚马逊运营专员
【无",细心、逻辑性强,微软Office、数据分析工具,产品管理、库存管理、价格管理、广告运营、评价管理和客户服务、数据分析与业绩评估,细心、沟通能力强、数据分析能力】
跨境电商运营,"跨境电商运营
[无",积极、沟通能力强、逻辑思维,Excel/SQL,提供及时有效的客户服务、沟通与合作、解决问题、管理工作时间、高效工作,分析能力、自我激励、专业素养]
跨境电商直播中控,"跨境电商直播中控
[无",无,无,网站、店铺产品上架；参与直播内容策划及直播前准备；负责直播时辅助主播与主播互动、把控节奏、后台操作；复盘、数据汇总；订单跟踪，异常订单处理,无]
亚马逊跨境电商运营专员,"亚马逊跨境电商运营专员
[电子商务，市场营销，国际贸易类专业优先",团队合作意识、沟通协调能力、自驱及学习力强,亚马逊相关产品选品及销售推广方法,FBA备货策略制定、产品Listing优化、销售情况与排名监测,踏实诚信，领导团队能力或潜力]
跨境电商运营/助理,"跨境电商运营/助理
[国际贸易，电子商务，外贸，市场营销专业",无,办公软件,店铺日常管理工作，运营数据统计和分析，关注平台政策和活动信息，了解Temu的规则和政策，其他工作事项,执行力强，严谨、细心、沟通能力强]
跨境电商运营主管,"跨境电商运营主管
[国贸、外贸、英语专业",主动性强、抗压能力强,掌握shopee、lazada、速卖通、temu等电商平台,负责shopee、lazada、速卖通平台账号的产品上架、更新产品信息、优化listing、分析市场状况和竞争对手、调整销售策略、完成上级安排的工作,协调沟通能力强、执行能力强、工作踏实认真、责任心强]
杭州搜买科技有限公司招聘供应链专员,"杭州搜买科技有限公司招聘供应链专员
[物流、采购、电子商务等相关专业优先",为人正直、具有良好的职业道德、能吃苦耐劳、具有良好的团队合作精神,熟悉产业带、1688、速卖通、淘宝平台等国内外各大购物网站并能进行精准的沟通和采购,市场调研与分析、产品梳理与开发、供应商开发与管理、协助风控管理、复杂订单协调、采购业务日常管理和执行、成本管控、时效及资金管控,熟悉美妆及化妆用具，假发及用具，美甲及用具、饰品、3C商品品类优先]
跨境电商运营,"Vendor账号（1P）
[市场营销、工商管理相关专业本科以上学历优先",注重细节、组织能力强,数据分析、SEO指南,监控营销活动、分析销售数据、支持销售和市场团队制定和执行运营策略、预测并确保库存充足,沟通和协作能力、适应快节奏、动态的环境、任务优先排序能力]
跨境电商运营专员,"工商管理、市场营销、电子商务等相关专业或学历
       无
       无
       管理店铺或单独运营链接
       心思细腻、沟通能力强、善于团队合作、较强的抗压能力",无,无,无,无
跨境电商运营专员,"跨境电商运营专员
[无",细心、责任心强,办公软件、英语,负责跨境电商平台的产品规划、市场推广等工作,沟通能力强、具有团队合作精神]
跨境电商运营,"跨境电商运营
[无",严谨、沟通协调能力强,亚马逊平台规则与政策、数据分析软件,制定运营策略、运营数据分析报告,抗压能力强]
跨境电商运营经理,"1. 专业：无
2. 性格：无
3. 软件技能：无
4. 工作内容：负责亚马逊店铺的整体搭建及运营和管理，包括产品上架，数据分析，推广活动等；负责公司经营产品在中东地区各电商平台的销售；根据公司业务特点、市场需求和发展规划，制定和执行中长期市场分析及制定战略；负责公司经营产品的“一盘货”管理，包括销售预测、库存计划、下单、呆滞库存清理等；参与公司运营体系的规划和建设；参与产品调研、竞品调研和分析。
5. 品质：无",无,无,无,无
跨境电商运营专员,"跨境电商运营专员
[无",无,Ps Ai 剪映,了解erp软件、熟练使用 Ps Ai 剪映等剪辑软件、博主公关建联、素材社媒分发、对meta推广以及seo优化有初步了解、其他辅助相关事宜,无]
跨境电商亚马逊运营助理,"跨境电商亚马逊运营助理
[无",理性、职业素养高,亚马逊后台操作、数据分析,负责亚马逊店铺管理与维护、关注竞品商品情况、制定站内引流计划、美国站点、加拿大站点、欧洲站点精品运营,英语水平6级以上，1年以上亚马逊运营经验]
"跨境电商运营助理
无",细致、有执行力,Shopify运营经验、内容策划和数据分析能力,跟踪分析产品数据、店铺后台运营、订单操作、物流追踪,英语水平CET,6或专业四级以上、细致执行、逻辑思维能力
跨境电商运营,"跨境电商运营
[无",细心、有创意、善于分析,SEO、站内外推广,独立站规划、推广方案制定、销售数据分析,熟悉跨境电商运营、良好的英文文案撰写能力、熟悉SEO技巧]
跨境电商运营专员,"跨境电商运营专员
[无",责任心强、细心、耐心,速卖通、Tume、SHEIN、Tiktok、PS,账号管理、产品上传、优化listing、分析平台热卖产品排名、维护客户渠道,对跨境电商有浓厚兴趣、抗压能力强]
跨境电商亚马逊运营专员,"跨境电商亚马逊运营专员
[无",沟通能力强、执行力果敢、责任心足、能承受压力、有团队合作并个人开拓进取的双向精神,英语、亚马逊、拼多多国际站运营经验,制定销售策略、竞品分析、产品资料整理和优化、广告及站外推广、售后服务、库存管理、销售策略调整、数据分析、新品运营策划,有驾驭精品运营思路和趋势的能力、海外市场分析能力、产品销售及网络营销策划技巧、独立思想和生活目标清晰、爆款精品打造经验、跨境电商创业经历]
跨境电商运营主管,"跨境电商运营主管
[无",逻辑分析能力、责任心和团队精神,亚马逊平台规则、数据分析,规划店铺、管理运营、推广引流、数据分析、产品上架、制定营销策略、处理客户邮件、定期统计销售数据、了解平台政策,数据分析能力、逻辑分析能力、责任心、团队精神]
跨境电商运营ozon运营（双休+福利待遇佳）,"跨境电商运营ozon运营（双休+福利待遇佳）
[市场营销、电子商务等相关专业优先",无,熟悉ozon平台规则及店铺操作，熟悉常见的数据分析工具,能独立负责ozon平台店铺的日常运营工作，制定并执行店铺的运营计划，负责店铺商品的上架、下架、库存管理等工作，分析销售数据和用户反馈，跟进平台的促销活动以及库存规划,具备良好的沟通能力和团队合作精神，能够独立进行数据分析]
跨境电商运营（沃尔玛）,"跨境电商运营（沃尔玛）
[无",适应调整能力、吃苦抗压能力、沟通协调能力、独立谈判能力,Walmart跨境电商平台,制定营销计划、市场情况分析、运营数据追踪、销售数据统计分析、协助确定推广策略、拓展销售渠道,认真细心、执行力强、团队合作意识、拼搏精神及抗压能力]
跨境电商亚马逊运营主管/经理（杯子 工具）,"跨境电商亚马逊运营主管/经理（杯子 工具）
[无",具有全局思维、统筹规划能力,无,从0开始的运营工作、制定销售目标和策略、亚马逊平台销售、产品营销计划制定、市场分析、店铺政策完善、数据统计分析,具有较强的抗压性、能动性、持续的学习能力与解决问题的能力]
海外仓运营专员,"海外仓运营专员
[物流管理、仓库管理",责任心、学习能力、沟通能力、抗压能力、谈判能力,无,海外仓货物调拨、海外仓订单发货、海外仓异常订单需求处理、账单结算以及费用分析、库存管理,熟悉国际物流体系和仓库运营体系流程、熟悉海外仓仓库运营规则、海外仓布局规则、成本核算、数据分析、渠道合作模式、具有海外仓仓库运营经验或跨境电商FBA物流、具有海外物流渠道资源优先考虑]
